AirTemp,BuiltSurface,Elevation,LST,LULC,NDBI,NDVI,PopulationDensity,UrbanClass,WaterDistance,WindSpeed,Longitude,Latitude
27.62282456,0,835,49.70075126,10,0.131735379,0.294084024,0.0,12,180.0,2.332534389,73.99927748,18.40328752
28.14696374,25,585,46.6313693,10,-0.15907099,0.603030303,64.74961853,30,626.2587325,2.087858749,73.82002216,18.62643895
29.12462849,7,558,53.18371364,30,0.000226912,0.307418398,11.39860535,21,1148.651383,2.241365912,74.01749298,18.55935192
27.67938471,4,604,46.88430278,10,0.062912137,0.367845994,37.41880417,30,355.1056181,1.956266523,73.74237675,18.67033672
27.29891325,0,627,50.76033746,30,0.159659531,0.22113943,0.0,11,815.6592426,1.673710019,73.73545028,18.4541401
27.62282456,0,879,48.91802468,30,0.218084047,0.205773956,0.0,11,718.0529228,2.332534389,74.04932836,18.41360759
28.1694283,2,572,46.8364505,10,0.116330275,0.288389513,6.20968771,30,624.8199741,2.192059992,73.93413299,18.49697974
27.29891325,0,730,47.83109432,10,0.201150697,0.231661549,0.0,11,430.0,1.673710019,73.72791604,18.51197989
28.58830398,0,589,47.77298798,40,0.00737798,0.27431694,0.0472579,21,264.7640459,2.26777321,73.99380872,18.45384019
29.12462849,0,605,54.36634856,30,0.13661884,0.104549082,21.79219246,21,255.5386468,2.241365912,74.01624868,18.59629313
28.58830398,0,547,50.14509386,40,0.139909736,0.141634574,0.0,21,261.7250466,2.26777321,73.99785312,18.49545164
28.63506505,70,550,51.28329452,50,0.139685103,0.098453608,77.51555634,30,161.5549442,2.199088634,73.85923509,18.58753606
28.58830398,0,541,45.50684072,40,0.093815734,0.247249566,0.0,12,395.9797975,2.26777321,74.02433328,18.51185777
28.14696374,3,557,47.51321846,50,-0.000189143,0.389385181,161.9559631,30,111.8033989,2.087858749,73.82750966,18.57139
27.14588591,0,731,46.1699366,60,0.068672076,0.249269976,0.236289486,30,283.1960452,1.810214569,73.848784,18.43008965
28.14696374,56,568,47.21585072,50,0.072275677,0.080531665,223.9331207,30,213.7755833,2.087858749,73.80282283,18.61491071
29.12462849,0,607,55.33706624,30,0.131908027,0.137120211,0.0,21,573.0619513,2.241365912,74.0372267,18.59004463
28.14696374,35,590,48.50444426,50,0.054084297,0.316376849,5.697886467,21,854.2247948,2.087858749,73.75952248,18.55321858
27.71183371,0,604,51.85410386,60,0.139046678,0.0969163,3.02878952,12,284.2534081,1.864115503,73.72064489,18.62138499
28.12798588,0,576,47.88578264,10,-0.009704455,0.399144254,0.614352703,30,170.0,2.080543428,73.80983722,18.69218108
29.29183769,0,585,56.09244866,30,0.202505219,0.113053613,0.0,13,390.0,2.224560324,74.07161864,18.61428467
28.94811934,0,593,51.87803,20,0.148112294,0.221204552,0.0,11,460.9772229,2.199623125,74.07286203,18.68658511
29.12462849,0,595,53.08800908,50,0.088904527,0.086737549,0.110268429,21,228.035085,2.241365912,74.02684459,18.61315775
27.79409916,0,559,44.80614662,60,-0.005255614,0.024010383,1.285414815,30,42.42640687,1.964554078,73.82781249,18.48548204
28.14696374,78,571,46.0503059,50,0.107369183,0.297027098,39.70980835,30,406.0788101,2.087858749,73.75966727,18.56838566
27.62282456,0,672,53.38537682,30,0.158536585,0.125989921,0.0,11,404.4749683,2.332534389,73.95151323,18.42328649
26.60724477,0,712,45.30517754,30,0.21632226,0.235973597,0.0,11,734.0980861,1.532930593,73.70611854,18.42706671
28.58830398,0,545,50.19294614,40,0.03609187,0.351392793,0.0,11,120.4159458,2.26777321,73.98023013,18.53504792
28.1694283,50,670,47.56448876,50,0.120048751,0.050181818,140.0093994,30,639.0618123,2.192059992,73.88013757,18.45086541
27.79409916,0,638,49.40338352,20,0.2507724,0.21706399,0.0,30,487.954916,1.964554078,73.83629024,18.47708579
28.12798588,0,587,50.19636416,40,-0.008507621,0.260243632,0.126021057,30,594.6427499,2.080543428,73.82107133,18.67181511
28.58830398,0,547,46.54250078,20,-0.160638513,0.528879425,0.0,12,233.4523506,2.26777321,73.98760602,18.50454754
28.14696374,64,561,49.2119744,50,0.072122571,0.088796317,129.3858185,30,141.4213562,2.087858749,73.79873718,18.59841442
28.52975997,0,566,45.18896486,30,0.172832019,0.127583356,0.0,21,468.7216658,2.170833195,73.87104725,18.68857583
29.12462849,0,665,49.90241444,20,0.166328974,0.218632203,0.0,21,321.4031736,2.241365912,74.0190746,18.59377249
28.9400636,20,608,48.17289632,50,0.124296861,0.10738871,33.34202194,12,912.1951546,2.351222966,74.06722911,18.45123426
28.63506505,0,572,48.7676318,20,0.093301021,0.273213418,0.0,30,392.9376541,2.199088634,73.93491967,18.57927334
28.1694283,7,543,46.74074594,10,0.014990329,0.417043478,147.9546967,30,72.80109889,2.192059992,73.92866482,18.53981535
29.12462849,36,600,48.61723892,40,0.11597983,0.075068725,123.7211761,30,754.3208866,2.241365912,74.00394411,18.58963757
27.31336457,0,729,50.0664794,20,0.069379015,0.123287671,13.93792915,21,290.6888371,2.102473899,73.8791701,18.42716033
28.1694283,37,597,50.07673346,50,0.06412997,0.18935072,139.1493073,30,349.8571137,2.192059992,73.94203479,18.47691722
